year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2012-13,Playoffs,97,Kenneth Faried,"['DEN', '5', '145', '20', '32', '0.625', '0', '0', '0.0', '11', '15', '0.733', '12', '30', '42', '1', '5', '1', '5', '22', '51', '0.2']"
2012-13,Playoffs,99,Mike Dunleavy,"['MIL', '4', '91', '17', '30', '0.567', '7', '16', '0.438', '8', '9', '0.889', '3', '13', '16', '8', '2', '0', '3', '5', '49', '2.67']"
2012-13,Playoffs,99,Pablo Prigioni,"['NYK', '11', '230', '17', '43', '0.395', '13', '30', '0.433', '2', '4', '0.5', '2', '15', '17', '35', '14', '1', '6', '21', '49', '5.83']"
2012-13,Playoffs,101,Russell Westbrook,"['OKC', '2', '68', '17', '41', '0.415', '2', '9', '0.222', '12', '14', '0.857', '1', '12', '13', '14', '6', '0', '8', '5', '48', '1.75']"
2012-13,Playoffs,102,DeJuan Blair,"['SAS', '12', '76', '21', '34', '0.618', '0', '0', '0.0', '5', '9', '0.556', '6', '18', '24', '7', '5', '1', '1', '14', '47', '7.0']"
2012-13,Playoffs,103,Ersan Ilyasova,"['MIL', '4', '117', '20', '46', '0.435', '4', '10', '0.4', '2', '2', '1.0', '10', '19', '29', '7', '5', '1', '6', '8', '46', '1.17']"
2012-13,Playoffs,103,Nazr Mohammed,"['CHI', '12', '114', '21', '41', '0.512', '0', '0', '0.0', '4', '7', '0.571', '14', '18', '32', '4', '2', '7', '3', '15', '46', '1.33']"
2012-13,Playoffs,105,Carlos Delfino,"['HOU', '5', '120', '15', '40', '0.375', '11', '31', '0.355', '4', '4', '1.0', '1', '11', '12', '10', '3', '1', '5', '10', '45', '2.0']"
2012-13,Playoffs,105,Kirk Hinrich,"['CHI', '4', '162', '16', '37', '0.432', '4', '11', '0.364', '9', '14', '0.643', '1', '10', '11', '23', '8', '1', '8', '14', '45', '2.88']"
2012-13,Playoffs,107,JaVale McGee,"['DEN', '6', '112', '18', '31', '0.581', '0', '0', '0.0', '7', '18', '0.389', '17', '14', '31', '0', '4', '6', '11', '17', '43', '0.0']"
